obcina,leto,Gross income - TOTAL,Income from work,"Parental, family and social benefits",Pensions,"Property, capital and other income"
ajdovščina,2014,10110.67,7193.91,610.26,1998.46,308.06
ajdovščina,2015,10246.16,7402.73,579.02,2003.56,260.86
ajdovščina,2016,10640.96,7778.48,578.57,2012.99,270.93
ajdovščina,2017,11152.95,8213.25,582.25,2056.81,300.63
ajdovščina,2018,11949.15,8865.33,590.45,2108.46,384.91
ajdovščina,2019,12740.6,9515,627.63,2165.11,432.87
ajdovščina,2020,13521.22,9824.22,z,2299.37,z
ajdovščina,2021,14199.93,10715.01,686.63,2413.46,384.83
ajdovščina,2022,15433.41,11696.8,723.12,2594.91,418.59
ajdovščina,2023,17124.17,13171.72,720.4,2765.67,466.38
ankaran/ancarano,2014,12713.93,9393.55,529.2,2315.8,475.39
ankaran/ancarano,2015,13049.05,9689.7,500.98,2401.52,456.85
ankaran/ancarano,2016,13548.04,10068.2,458.37,2500.07,521.4
ankaran/ancarano,2017,14026.9,10464.1,441.22,2581.52,540.07
ankaran/ancarano,2018,14931.78,10980.78,507.92,2673.11,769.98
ankaran/ancarano,2019,15415.22,11474.87,539.08,2796.88,604.39
ankaran/ancarano,2020,15939.29,11716.28,616.3,3061.65,545.06
ankaran/ancarano,2021,17034.03,12472.84,641.09,3370.84,549.27
ankaran/ancarano,2022,18193.29,13150.38,629.09,3492.57,921.24
ankaran/ancarano,2023,20127.52,14547.19,727.38,3730.92,1122.03
apače,2014,8975.53,6765.04,602.91,1471.94,135.63
apače,2015,8980.01,6727.63,624.37,1478.91,149.11
apače,2016,9490.68,7133.79,622.89,1590.09,143.91
apače,2017,8218.97,5800.24,623.21,1657.41,138.11
apače,2018,8657.63,6149.06,636.91,1756.96,114.7
apače,2019,8934.76,6250.4,694.3,1857.63,132.43
apače,2020,10367.11,7381.81,796.13,2040.78,148.39
apače,2021,10394.25,7362.05,733.88,2177.78,120.54
apače,2022,11649.95,8292.9,815.51,2386.6,154.95
