obcina,leto,Basic or less,Education - TOTAL,Tertiary,Upper secondary
ajdovščina,2011,5411,16016,2457,8148
ajdovščina,2012,5221,15985,2702,8062
ajdovščina,2013,5030,15906,2767,8109
ajdovščina,2014,4870,15765,2943,7952
ajdovščina,2015,4759,15798,3066,7973
ajdovščina,2016,4635,15871,3225,8011
ajdovščina,2017,4531,15873,3390,7952
ajdovščina,2018,4398,15871,3474,7999
ajdovščina,2019,4235,15964,3583,8146
ajdovščina,2020,4228,16116,3659,8229
ajdovščina,2021,4194,16354,3785,8375
ajdovščina,2022,4073,16303,3924,8306
ajdovščina,2023,4004,16400,4047,8349
ajdovščina,2024,3979,16507,4178,8350
ankaran/ancarano,2011,-,-,-,-
ankaran/ancarano,2012,-,-,-,-
ankaran/ancarano,2013,-,-,-,-
ankaran/ancarano,2014,-,-,-,-
ankaran/ancarano,2015,650,2801,759,1392
ankaran/ancarano,2016,623,2818,799,1396
ankaran/ancarano,2017,615,2819,822,1382
ankaran/ancarano,2018,586,2795,836,1373
ankaran/ancarano,2019,546,2789,839,1404
ankaran/ancarano,2020,554,2812,853,1405
ankaran/ancarano,2021,563,2861,879,1419
ankaran/ancarano,2022,559,2883,900,1424
ankaran/ancarano,2023,576,2955,918,1461
ankaran/ancarano,2024,585,2918,891,1442
apače,2011,1323,3168,226,1619
apače,2012,1275,3150,248,1627
apače,2013,1225,3128,261,1642
apače,2014,1198,3132,295,1639
apače,2015,1142,3097,305,1650
apače,2016,1101,3083,327,1655
apače,2017,1056,3054,360,1638
apače,2018,1029,3042,366,1647
apače,2019,1006,3028,381,1641
apače,2020,981,3033,391,1661
apače,2021,969,3050,385,1696
apače,2022,945,3053,410,1698
apače,2023,924,3048,418,1706
apače,2024,916,3095,442,1737
beltinci,2011,2662,7103,767,3674
beltinci,2012,2575,7118,855,3688
beltinci,2013,2496,7119,896,3727
beltinci,2014,2434,7133,966,3733
beltinci,2015,2334,7076,1000,3742
beltinci,2016,2277,7087,1039,3771
beltinci,2017,2198,7060,1110,3752
beltinci,2018,2128,6997,1140,3729
beltinci,2019,2062,6932,1149,3721
beltinci,2020,2004,6902,1183,3715
beltinci,2021,1950,6922,1235,3737
beltinci,2022,1910,6951,1275,3766
beltinci,2023,1862,6935,1301,3772
beltinci,2024,1837,6956,1350,3769
benedikt,2011,798,1969,162,1009
benedikt,2012,759,2000,192,1049
benedikt,2013,752,2004,207,1045
benedikt,2014,708,2017,234,1075
benedikt,2015,695,2029,259,1075
benedikt,2016,678,2055,276,1101
benedikt,2017,658,2062,290,1114
benedikt,2018,645,2080,302,1133
benedikt,2019,606,2108,317,1185
benedikt,2020,604,2154,337,1213
benedikt,2021,594,2150,350,1206
benedikt,2022,600,2204,384,1220
benedikt,2023,575,2254,411,1268
benedikt,2024,562,2257,415,1280
bistrica ob sotli,2011,503,1204,151,550
bistrica ob sotli,2012,485,1192,165,542
bistrica ob sotli,2013,476,1186,165,545
bistrica ob sotli,2014,457,1172,170,545
bistrica ob sotli,2015,458,1179,180,541
bistrica ob sotli,2016,431,1163,192,540
bistrica ob sotli,2017,428,1163,200,535
bistrica ob sotli,2018,417,1161,200,544
bistrica ob sotli,2019,388,1138,195,555
bistrica ob sotli,2020,370,1145,206,569
bistrica ob sotli,2021,361,1167,223,583
bistrica ob sotli,2022,343,1174,232,599
bistrica ob sotli,2023,323,1171,244,604
bistrica ob sotli,2024,322,1170,245,603
bled,2011,1368,7036,1584,4084
bled,2012,1328,7082,1678,4076
bled,2013,1317,7064,1726,4021
bled,2014,1279,7072,1836,3957
bled,2015,1232,7020,1876,3912
bled,2016,1163,6935,1896,3876
bled,2017,1121,6878,1999,3758
bled,2018,1065,6783,2025,3693
bled,2019,1007,6754,2062,3685
bled,2020,1005,6808,2105,3698
bled,2021,1016,7055,2302,3737
bled,2022,978,7117,2403,3736
bled,2023,996,7067,2366,3705
bled,2024,991,7053,2371,3691
bloke,2011,476,1362,202,684
bloke,2012,468,1371,224,679
bloke,2013,456,1368,232,680
bloke,2014,426,1338,254,658
bloke,2015,403,1316,255,658
bloke,2016,375,1307,264,668
bloke,2017,351,1295,270,674
bloke,2018,339,1291,282,670
bloke,2019,325,1313,288,700
bloke,2020,309,1312,295,708
bloke,2021,312,1358,310,736
bloke,2022,295,1351,326,730
bloke,2023,265,1318,328,725
bloke,2024,258,1321,333,730
bohinj,2011,1147,4518,634,2737
bohinj,2012,1082,4479,666,2731
bohinj,2013,1053,4480,698,2729
bohinj,2014,1027,4449,763,2659
bohinj,2015,968,4418,818,2632
bohinj,2016,930,4399,844,2625
bohinj,2017,895,4413,894,2624
bohinj,2018,869,4381,911,2601
bohinj,2019,820,4374,939,2615
bohinj,2020,815,4409,965,2629
bohinj,2021,818,4768,1198,2752
bohinj,2022,779,4840,1301,2760
bohinj,2023,807,4631,1160,2664
bohinj,2024,801,4525,1088,2636
borovnica,2011,1033,3418,500,1885
borovnica,2012,1002,3415,562,1851
borovnica,2013,936,3398,581,1881
borovnica,2014,918,3480,654,1908
borovnica,2015,894,3544,696,1954
borovnica,2016,857,3554,733,1964
borovnica,2017,833,3608,806,1969
borovnica,2018,810,3611,847,1954
borovnica,2019,794,3661,866,2001
borovnica,2020,819,3733,885,2029
borovnica,2021,832,3800,926,2042
borovnica,2022,799,3773,942,2032
borovnica,2023,811,3827,974,2042
borovnica,2024,821,3862,989,2052
bovec,2011,1082,2873,387,1404
bovec,2012,1003,2805,413,1389
bovec,2013,967,2806,410,1429
bovec,2014,941,2774,436,1397
bovec,2015,901,2750,454,1395
bovec,2016,875,2752,474,1403
bovec,2017,831,2708,506,1371
bovec,2018,807,2707,505,1395
bovec,2019,786,2697,537,1374
bovec,2020,766,2730,563,1401
bovec,2021,763,2877,678,1436
bovec,2022,744,2835,680,1411
bovec,2023,726,2730,613,1391
bovec,2024,734,2732,610,1388
braslovče,2011,1327,4504,723,2454
braslovče,2012,1299,4575,799,2477
braslovče,2013,1260,4579,849,2470
braslovče,2014,1225,4586,934,2427
braslovče,2015,1183,4580,986,2411
braslovče,2016,1166,4597,1031,2400
braslovče,2017,1133,4652,1128,2391
braslovče,2018,1109,4625,1146,2370
braslovče,2019,1056,4620,1181,2383
braslovče,2020,1040,4709,1234,2435
braslovče,2021,1027,4722,1268,2427
braslovče,2022,1000,4722,1290,2432
braslovče,2023,1000,4784,1335,2449
braslovče,2024,994,4895,1412,2489
brda,2011,1678,4991,669,2644
brda,2012,1615,5001,717,2669
brda,2013,1574,4972,737,2661
brda,2014,1550,4944,801,2593
brda,2015,1504,4909,840,2565
brda,2016,1450,4911,895,2566
brda,2017,1390,4876,937,2549
brda,2018,1326,4854,982,2546
brda,2019,1256,4821,1001,2564
brda,2020,1223,4812,1019,2570
brda,2021,1164,4817,1065,2588
brda,2022,1124,4799,1099,2576
brda,2023,1097,4771,1115,2559
brda,2024,1083,4772,1130,2559
brezovica,2011,2156,9212,1852,5204
brezovica,2012,2087,9394,2061,5246
brezovica,2013,2045,9571,2185,5341
brezovica,2014,2066,9696,2368,5262
brezovica,2015,2022,9768,2490,5256
brezovica,2016,2011,9849,2593,5245
brezovica,2017,1976,9939,2733,5230
brezovica,2018,1905,10006,2840,5261
brezovica,2019,1874,10191,2949,5368
brezovica,2020,1858,10437,3007,5572
brezovica,2021,1826,10499,3129,5544
brezovica,2022,1805,10538,3210,5523
brezovica,2023,1815,10617,3280,5522
brezovica,2024,1832,10775,3373,5570
brežice,2011,6456,21097,3161,11480
brežice,2012,6170,21051,3364,11517
brežice,2013,6048,21006,3443,11515
brežice,2014,5884,20949,3647,11418
brežice,2015,5669,20873,3826,11378
brežice,2016,5522,20925,3953,11450
brežice,2017,5334,20862,4138,11390
brežice,2018,5242,20754,4227,11285
brežice,2019,5017,20717,4314,11386
brežice,2020,4894,20686,4367,11425
brežice,2021,4843,21001,4533,11625
brežice,2022,4712,20977,4645,11620
brežice,2023,4681,21004,4711,11612
brežice,2024,4661,21099,4792,11646
cankova,2011,746,1651,142,763
cankova,2012,729,1658,162,767
cankova,2013,704,1648,171,773
cankova,2014,677,1621,183,761
cankova,2015,649,1614,191,774
cankova,2016,631,1603,201,771
cankova,2017,595,1578,228,755
cankova,2018,566,1547,233,748
cankova,2019,558,1537,237,742
cankova,2020,542,1527,241,744
cankova,2021,528,1536,259,749
cankova,2022,505,1526,264,757
cankova,2023,489,1547,275,783
cankova,2024,484,1548,288,776
celje,2011,10812,42154,8581,22761
celje,2012,10339,42055,9118,22598
celje,2013,10099,41999,9283,22617
celje,2014,9986,42071,9641,22444
celje,2015,9736,41839,9850,22253
celje,2016,9554,42044,10163,22327
celje,2017,9289,42273,10614,22370
celje,2018,9008,42281,10762,22511
celje,2019,8822,42352,10953,22577
celje,2020,8804,42456,11051,22601
celje,2021,8713,42022,11088,22221
celje,2022,8606,41652,11282,21764
celje,2023,8643,41794,11470,21681
celje,2024,8859,42295,11639,21797
cerklje na gorenjskem,2011,1823,5832,887,3122
cerklje na gorenjskem,2012,1783,5912,992,3137
cerklje na gorenjskem,2013,1771,5946,1047,3128
cerklje na gorenjskem,2014,1705,6012,1139,3168
cerklje na gorenjskem,2015,1680,6037,1210,3147
cerklje na gorenjskem,2016,1643,6177,1301,3233
cerklje na gorenjskem,2017,1636,6255,1403,3216
cerklje na gorenjskem,2018,1595,6281,1436,3250
cerklje na gorenjskem,2019,1526,6300,1494,3280
cerklje na gorenjskem,2020,1542,6420,1573,3305
cerklje na gorenjskem,2021,1542,6515,1656,3317
cerklje na gorenjskem,2022,1499,6538,1726,3313
cerklje na gorenjskem,2023,1456,6509,1740,3313
cerklje na gorenjskem,2024,1472,6531,1792,3267
cerknica,2011,2787,9574,1621,5166
cerknica,2012,2724,9648,1726,5198
cerknica,2013,2629,9587,1787,5171
cerknica,2014,2571,9569,1922,5076
cerknica,2015,2511,9634,2011,5112
cerknica,2016,2434,9631,2091,5106
cerknica,2017,2324,9682,2223,5135
cerknica,2018,2240,9650,2292,5118
cerknica,2019,2148,9699,2361,5190
cerknica,2020,2119,9750,2415,5216
cerknica,2021,2102,9822,2448,5272
cerknica,2022,2048,9833,2519,5266
cerknica,2023,2024,9872,2596,5252
cerknica,2024,2048,10007,2671,5288
cerkno,2011,1693,4114,506,1915
cerkno,2012,1658,4135,543,1934
cerkno,2013,1628,4093,567,1898
cerkno,2014,1579,4048,614,1855
cerkno,2015,1498,4010,652,1860
cerkno,2016,1444,3967,681,1842
cerkno,2017,1407,3934,689,1838
cerkno,2018,1342,3907,713,1852
cerkno,2019,1298,3880,733,1849
cerkno,2020,1274,3847,744,1829
cerkno,2021,1236,3852,754,1862
cerkno,2022,1214,3843,776,1853
cerkno,2023,1187,3822,797,1838
cerkno,2024,1162,3782,798,1822
cerkvenjak,2011,819,1756,109,828
cerkvenjak,2012,783,1740,129,828
cerkvenjak,2013,757,1729,149,823
cerkvenjak,2014,719,1734,170,845
cerkvenjak,2015,682,1763,181,900
cerkvenjak,2016,650,1751,198,903
cerkvenjak,2017,636,1769,205,928
cerkvenjak,2018,602,1731,213,916
cerkvenjak,2019,569,1742,227,946
cerkvenjak,2020,552,1770,240,978
cerkvenjak,2021,537,1846,248,1061
cerkvenjak,2022,514,1831,265,1052
cerkvenjak,2023,495,1865,290,1080
cerkvenjak,2024,485,1886,314,1087
cirkulane,2011,823,1994,152,1019
cirkulane,2012,787,1993,160,1046
cirkulane,2013,755,2000,169,1076
cirkulane,2014,737,2026,188,1101
cirkulane,2015,697,2019,205,1117
cirkulane,2016,680,1984,206,1098
cirkulane,2017,648,2035,228,1159
cirkulane,2018,619,2020,216,1185
cirkulane,2019,606,2081,225,1250
cirkulane,2020,583,2042,230,1229
cirkulane,2021,570,2081,243,1268
cirkulane,2022,558,2073,258,1257
cirkulane,2023,555,2090,262,1273
cirkulane,2024,559,2106,266,1281
destrnik,2011,918,2251,217,1116
destrnik,2012,889,2247,222,1136
destrnik,2013,856,2207,228,1123
destrnik,2014,830,2224,269,1125
destrnik,2015,798,2196,276,1122
destrnik,2016,762,2163,274,1127
destrnik,2017,734,2175,294,1147
destrnik,2018,725,2183,315,1143
destrnik,2019,697,2201,318,1186
destrnik,2020,674,2243,335,1234
destrnik,2021,651,2246,354,1241
destrnik,2022,631,2235,360,1244
destrnik,2023,623,2256,365,1268
destrnik,2024,617,2300,380,1303
divača,2011,1105,3404,486,1813
divača,2012,1073,3443,535,1835
divača,2013,1039,3409,556,1814
divača,2014,1012,3429,602,1815
divača,2015,971,3428,631,1826
divača,2016,946,3412,643,1823
divača,2017,928,3445,702,1815
divača,2018,876,3501,734,1891
divača,2019,844,3551,770,1937
divača,2020,850,3587,775,1962
divača,2021,854,3672,808,2010
divača,2022,861,3709,827,2021
divača,2023,885,3763,866,2012
divača,2024,910,3839,881,2048
dobje,2011,397,824,92,335
dobje,2012,381,825,105,339
dobje,2013,359,812,108,345
dobje,2014,351,814,118,345
dobje,2015,346,831,127,358
dobje,2016,324,820,126,370
dobje,2017,313,812,130,369
dobje,2018,295,810,135,380
dobje,2019,274,800,135,391
dobje,2020,268,790,139,383
dobje,2021,256,784,138,390
dobje,2022,253,787,145,389
dobje,2023,250,801,159,392
dobje,2024,248,801,160,393
dobrepolje,2011,1116,3260,381,1763
dobrepolje,2012,1092,3293,434,1767
dobrepolje,2013,1073,3308,445,1790
dobrepolje,2014,1032,3309,468,1809
dobrepolje,2015,1005,3305,485,1815
dobrepolje,2016,985,3283,515,1783
dobrepolje,2017,934,3252,556,1762
dobrepolje,2018,927,3257,576,1754
dobrepolje,2019,883,3241,589,1769
dobrepolje,2020,840,3257,595,1822
dobrepolje,2021,836,3286,617,1833
dobrepolje,2022,805,3264,625,1834
dobrepolje,2023,815,3320,631,1874
dobrepolje,2024,796,3354,679,1879
dobrna,2011,650,1871,213,1008
dobrna,2012,628,1882,236,1018
dobrna,2013,620,1874,250,1004
dobrna,2014,605,1895,280,1010
dobrna,2015,573,1844,288,983
dobrna,2016,549,1863,312,1002
dobrna,2017,548,1890,333,1009
dobrna,2018,517,1872,336,1019
dobrna,2019,498,1875,345,1032
dobrna,2020,487,1873,353,1033
dobrna,2021,483,1886,371,1032
dobrna,2022,488,1897,372,1037
dobrna,2023,480,1919,381,1058
dobrna,2024,471,1934,395,1068
dobrova - polhov gradec,2011,1670,5960,1073,3217
dobrova - polhov gradec,2012,1638,6056,1202,3216
dobrova - polhov gradec,2013,1640,6144,1277,3227
dobrova - polhov gradec,2014,1593,6114,1333,3188
dobrova - polhov gradec,2015,1577,6160,1384,3199
dobrova - polhov gradec,2016,1514,6173,1427,3232
dobrova - polhov gradec,2017,1460,6199,1515,3224
dobrova - polhov gradec,2018,1440,6259,1556,3263
dobrova - polhov gradec,2019,1402,6281,1598,3281
dobrova - polhov gradec,2020,1390,6404,1671,3343
dobrova - polhov gradec,2021,1332,6454,1737,3385
dobrova - polhov gradec,2022,1289,6447,1793,3365
dobrova - polhov gradec,2023,1261,6529,1862,3406
dobrova - polhov gradec,2024,1254,6632,1945,3433
dobrovnik/dobronak,2011,457,1149,117,575
dobrovnik/dobronak,2012,451,1158,124,583
dobrovnik/dobronak,2013,438,1137,127,572
dobrovnik/dobronak,2014,410,1104,138,556
dobrovnik/dobronak,2015,400,1106,153,553
dobrovnik/dobronak,2016,388,1104,155,561
dobrovnik/dobronak,2017,373,1099,163,563
dobrovnik/dobronak,2018,367,1107,175,565
dobrovnik/dobronak,2019,358,1105,179,568
dobrovnik/dobronak,2020,346,1108,181,581
dobrovnik/dobronak,2021,329,1106,193,584
dobrovnik/dobronak,2022,310,1084,202,572
dobrovnik/dobronak,2023,295,1083,202,586
dobrovnik/dobronak,2024,285,1095,205,605
dol pri ljubljani,2011,1068,4460,906,2486
dol pri ljubljani,2012,1021,4525,983,2521
dol pri ljubljani,2013,1017,4593,1039,2537
dol pri ljubljani,2014,1008,4687,1140,2539
dol pri ljubljani,2015,1008,4754,1204,2542
dol pri ljubljani,2016,987,4786,1279,2520
dol pri ljubljani,2017,969,4806,1334,2503
dol pri ljubljani,2018,964,4858,1374,2520
dol pri ljubljani,2019,916,5005,1489,2600
dol pri ljubljani,2020,943,5110,1529,2638
dol pri ljubljani,2021,932,5175,1580,2663
dol pri ljubljani,2022,936,5168,1598,2634
dol pri ljubljani,2023,936,5188,1653,2599
dol pri ljubljani,2024,947,5304,1704,2653
dolenjske toplice,2011,991,2925,457,1477
dolenjske toplice,2012,952,2898,490,1456
dolenjske toplice,2013,917,2897,505,1475
dolenjske toplice,2014,868,2873,544,1461
dolenjske toplice,2015,809,2871,565,1497
dolenjske toplice,2016,786,2885,577,1522
dolenjske toplice,2017,772,2912,613,1527
dolenjske toplice,2018,747,2889,648,1494
dolenjske toplice,2019,727,2927,669,1531
dolenjske toplice,2020,718,2976,678,1580
dolenjske toplice,2021,707,3024,701,1616
