obcina,leto,Labour migration index,Labour migration index - men,Labour migration index - women,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence - men,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence - women,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence - men,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence - women
ajdovščina,2000,95.6,97,93.8,66.2,64.4,68.7,33.8,35.6,31.3
ajdovščina,2001,96.6,98.1,94.6,64.9,62.8,67.8,35.1,37.2,32.2
ajdovščina,2002,93.8,94.6,92.8,64.6,62.6,67.3,35.4,37.4,32.7
ajdovščina,2003,92.2,93.5,90.4,63.6,61.8,66,36.4,38.2,34
ajdovščina,2004,90.5,92.5,87.8,61.5,60.7,62.7,38.5,39.3,37.3
ajdovščina,2005,90.6,94.2,85.5,59.4,59.3,59.6,40.6,40.7,40.4
ajdovščina,2006,90.3,95.2,83.4,58.6,59.5,57.4,41.4,40.5,42.6
ajdovščina,2007,89.1,94.5,81.4,57.2,58.4,55.6,42.8,41.6,44.4
ajdovščina,2008,87,91.3,80.8,56.2,57.6,54,43.8,42.4,46
ajdovščina,2009,86.2,89.1,82.1,55.7,57,53.8,44.3,43,46.2
ajdovščina,2010,84.3,87.6,79.8,54.5,56.3,52.2,45.5,43.7,47.8
ajdovščina,2011,83.6,87.9,78,52.6,54.2,50.5,47.4,45.8,49.5
ajdovščina,2012,75.9,75.5,76.4,49.8,50.3,49.2,50.2,49.7,50.8
ajdovščina,2013,75.7,74.7,76.8,49.6,49.6,49.7,50.4,50.4,50.3
ajdovščina,2014,75.1,74,76.5,48.6,48.8,48.4,51.4,51.2,51.6
ajdovščina,2015,74.5,74.2,75,48.6,49.2,47.9,51.4,50.8,52.1
ajdovščina,2016,76.8,76.9,76.6,49.4,49.8,48.8,50.6,50.2,51.2
ajdovščina,2017,78.2,79.6,76.3,48.6,49.9,46.9,51.4,50.1,53.1
ajdovščina,2018,79.1,81.2,76.3,49.2,51,46.8,50.8,49,53.2
ajdovščina,2019,84,89.3,77,49.8,52.7,46.1,50.2,47.3,53.9
ajdovščina,2020,83.5,89.8,75.4,48.7,51.2,45.5,51.3,48.8,54.5
ajdovščina,2021,86.6,94.2,77.1,48.9,51.9,45.1,51.1,48.1,54.9
ajdovščina,2022,89.9,99.9,77.4,49.3,52.7,45,50.7,47.3,55
ajdovščina,2023,90.1,100,77.9,48.3,51.3,44.4,51.7,48.7,55.6
ajdovščina,2024,90.7,100.6,78.5,48.6,51.8,44.7,51.4,48.2,55.3
ankaran/ancarano,2000,-,-,-,-,-,-,-,-,-
ankaran/ancarano,2001,-,-,-,-,-,-,-,-,-
ankaran/ancarano,2002,-,-,-,-,-,-,-,-,-
ankaran/ancarano,2003,-,-,-,-,-,-,-,-,-
ankaran/ancarano,2004,-,-,-,-,-,-,-,-,-
ankaran/ancarano,2005,-,-,-,-,-,-,-,-,-
ankaran/ancarano,2006,-,-,-,-,-,-,-,-,-
ankaran/ancarano,2007,-,-,-,-,-,-,-,-,-
ankaran/ancarano,2008,-,-,-,-,-,-,-,-,-
ankaran/ancarano,2009,-,-,-,-,-,-,-,-,-
ankaran/ancarano,2010,-,-,-,-,-,-,-,-,-
ankaran/ancarano,2011,-,-,-,-,-,-,-,-,-
ankaran/ancarano,2012,-,-,-,-,-,-,-,-,-
ankaran/ancarano,2013,-,-,-,-,-,-,-,-,-
ankaran/ancarano,2014,-,-,-,-,-,-,-,-,-
ankaran/ancarano,2015,63.1,50,77.5,19.3,18.8,19.8,63.1,81.2,80.2
ankaran/ancarano,2016,69.2,52.6,86.9,20,19.8,20.2,80,80.2,79.8
ankaran/ancarano,2017,66.7,50.3,84.4,17.7,16,19.6,82.3,84,80.4
ankaran/ancarano,2018,69,53.3,85.2,17.6,16.6,18.5,82.4,83.4,81.5
ankaran/ancarano,2019,72.1,54,90.6,17.5,15.1,19.9,82.5,84.9,80.1
ankaran/ancarano,2020,70.5,50.3,92.2,17.8,15.2,20.5,82.2,84.8,79.5
ankaran/ancarano,2021,71.8,53.2,91.4,17.3,15.3,19.5,82.7,84.7,80.5
ankaran/ancarano,2022,72,53.2,91.2,17.5,15.2,19.8,82.5,84.8,80.2
ankaran/ancarano,2023,72.3,52.5,92.2,17.9,15.3,20.5,82.1,84.7,79.5
ankaran/ancarano,2024,72.5,52.6,92.8,18.3,16,20.6,81.7,84,79.4
apače,2000,-,-,-,-,-,-,-,-,-
apače,2001,-,-,-,-,-,-,-,-,-
apače,2002,-,-,-,-,-,-,-,-,-
apače,2003,-,-,-,-,-,-,-,-,-
apače,2004,-,-,-,-,-,-,-,-,-
apače,2005,-,-,-,-,-,-,-,-,-
apače,2006,-,-,-,-,-,-,-,-,-
apače,2007,31.4,36.6,24.6,21.1,23.8,17.6,78.9,76.2,82.4
apače,2008,33.3,39.6,25,22.3,25.3,18.4,77.7,74.7,81.6
apače,2009,35.8,41.8,27.9,24.3,27,20.9,75.7,73,79.1
apače,2010,36.3,41.4,29.9,25.6,28.6,21.8,74.4,71.4,78.2
apače,2011,37.7,45,28.5,24.4,28,19.9,75.6,72,80.1
apače,2012,41,47.3,33.1,26.4,29,23.3,73.6,71,76.7
apače,2013,40.5,46,33.8,26.5,29.1,23.3,73.5,70.9,76.7
apače,2014,41.5,45.4,36.5,27.8,30.2,24.8,72.2,69.8,75.2
apače,2015,41.7,45.5,37.1,27.4,30,24.3,72.6,70,75.7
apače,2016,41.6,45.3,37.3,27.1,29.5,24.2,72.9,70.5,75.8
apače,2017,41.6,45.8,36.8,27,30.2,23.3,73,69.8,76.7
