obcina,leto,Natural increase,Net migration between municipalities,Net migration from abroad,Total increase,Total increase per 1000 population
ajdovščina,1995,25,1,17,43,...
ajdovščina,1996,-7,-13,7,-13,...
ajdovščina,1997,-22,0,5,-17,-1
ajdovščina,1998,1,-1,24,24,1.4
ajdovščina,1999,6,-11,5,0,0
ajdovščina,2000,29,59,28,116,6.5
ajdovščina,2001,-10,36,14,40,2.2
ajdovščina,2002,4,58,29,91,5.1
ajdovščina,2003,14,37,25,76,4.2
ajdovščina,2004,37,46,-30,53,2.9
ajdovščina,2005,4,39,3,46,2.5
ajdovščina,2006,15,19,74,108,5.9
ajdovščina,2007,38,58,192,288,15.6
ajdovščina,2008,66,-292,270,44,2.4
ajdovščina,2009,67,-68,135,134,7.1
ajdovščina,2010,90,19,-37,72,3.8
ajdovščina,2011,91,-94,10,7,0.4
ajdovščina,2012,117,-91,-27,-1,-0.1
ajdovščina,2013,56,-158,-4,-106,-5.6
ajdovščina,2014,70,19,17,106,5.6
ajdovščina,2015,56,-18,49,87,4.6
ajdovščina,2016,55,-23,16,48,2.5
ajdovščina,2017,23,-52,64,35,1.8
ajdovščina,2018,35,-27,113,121,6.3
ajdovščina,2019,26,-62,208,172,8.9
ajdovščina,2020,45,44,201,290,14.7
ajdovščina,2021,-6,2,25,21,1.1
ajdovščina,2022,-17,3,102,88,4.5
ajdovščina,2023,4,15,64,83,4.2
ankaran/ancarano,1995,-,-,-,-,-
ankaran/ancarano,1996,-,-,-,-,-
ankaran/ancarano,1997,-,-,-,-,-
ankaran/ancarano,1998,-,-,-,-,-
ankaran/ancarano,1999,-,-,-,-,-
ankaran/ancarano,2000,-,-,-,-,-
ankaran/ancarano,2001,-,-,-,-,-
ankaran/ancarano,2002,-,-,-,-,-
ankaran/ancarano,2003,-,-,-,-,-
ankaran/ancarano,2004,-,-,-,-,-
ankaran/ancarano,2005,-,-,-,-,-
ankaran/ancarano,2006,-,-,-,-,-
ankaran/ancarano,2007,-,-,-,-,-
ankaran/ancarano,2008,-,-,-,-,-
ankaran/ancarano,2009,-,-,-,-,-
ankaran/ancarano,2010,-,-,-,-,-
ankaran/ancarano,2011,-,-,-,-,-
ankaran/ancarano,2012,-,-,-,-,-
ankaran/ancarano,2013,-,-,-,-,-
ankaran/ancarano,2014,-,-,-,-,-
ankaran/ancarano,2015,-3,22,-5,14,4.3
ankaran/ancarano,2016,5,-17,5,-7,-2.2
ankaran/ancarano,2017,4,-15,-10,-21,-6.6
ankaran/ancarano,2018,10,-31,20,-1,-0.3
ankaran/ancarano,2019,4,14,-1,17,5.3
ankaran/ancarano,2020,-9,19,24,34,10.5
ankaran/ancarano,2021,-5,22,3,20,6.2
ankaran/ancarano,2022,-13,20,99,106,32.2
ankaran/ancarano,2023,-1,-69,12,-58,-17.2
apače,1995,-,-,-,-,...
apače,1996,-,-,-,-,...
apače,1997,-,-,-,-,-
apače,1998,-,-,-,-,-
apače,1999,-,-,-,-,-
apače,2000,-,-,-,-,-
apače,2001,-,-,-,-,-
apače,2002,-,-,-,-,-
apače,2003,-,-,-,-,-
apače,2004,-,-,-,-,-
apače,2005,-,-,-,-,-
apače,2006,-,-,-,-,-
apače,2007,-4,-13,-22,-39,-10.6
apače,2008,-15,-8,14,-9,-2.5
apače,2009,7,-26,-10,-29,-8
apače,2010,-1,26,5,30,8.3
apače,2011,11,-23,5,-7,-1.9
apače,2012,8,-36,2,-26,-7.2
apače,2013,10,27,-23,14,3.9
apače,2014,-20,-8,-4,-32,-8.9
apače,2015,-7,8,-12,-11,-3.1
apače,2016,-21,-15,-1,-37,-10.4
apače,2017,0,11,-9,2,0.6
apače,2018,-13,-30,13,-30,-8.5
apače,2019,4,5,9,18,5.1
apače,2020,-9,15,18,24,6.8
apače,2021,-11,0,9,-2,-0.6
apače,2022,-10,-2,-10,-22,-6.2
apače,2023,-9,31,20,42,11.8
beltinci,1995,-20,-10,3,-27,...
beltinci,1996,-7,3,2,-2,...
beltinci,1997,-3,7,-8,-4,-0.5
beltinci,1998,3,46,-11,38,4.5
beltinci,1999,-3,32,1,30,3.5
beltinci,2000,-2,8,-3,3,0.4
beltinci,2001,-30,13,-2,-19,-2.2
beltinci,2002,-15,0,7,-8,-0.9
beltinci,2003,-13,14,7,8,0.9
beltinci,2004,-2,-8,-4,-14,-1.6
beltinci,2005,-13,8,2,-3,-0.4
beltinci,2006,-34,17,2,-15,-1.8
beltinci,2007,-5,18,2,15,1.8
beltinci,2008,1,-36,-2,-37,-4.4
beltinci,2009,-16,11,-9,-14,-1.7
beltinci,2010,-2,-26,5,-23,-2.8
beltinci,2011,-6,0,-1,-7,-0.8
beltinci,2012,-20,8,-22,-34,-4.1
beltinci,2013,-5,51,-13,33,4
beltinci,2014,-12,-49,-12,-73,-8.8
beltinci,2015,-7,30,-23,0,0
beltinci,2016,-4,-17,-6,-27,-3.3
beltinci,2017,4,-9,-40,-45,-5.4
beltinci,2018,-42,-40,2,-80,-9.8
beltinci,2019,-24,-3,-18,-45,-5.6
beltinci,2020,-45,13,40,8,1
beltinci,2021,-15,39,13,37,4.6
beltinci,2022,-48,20,5,-23,-2.8
beltinci,2023,-35,12,15,-8,-1
benedikt,1995,-,-,-,-,...
benedikt,1996,-,-,-,-,...
benedikt,1997,-,-,-,-,-
benedikt,1998,-,-,-,-,-
benedikt,1999,13,30,-1,42,20.4
benedikt,2000,5,31,-1,35,16.7
benedikt,2001,9,26,-5,30,14.1
benedikt,2002,7,0,1,8,3.7
benedikt,2003,-1,15,-1,13,6
benedikt,2004,3,10,-4,9,4.2
benedikt,2005,0,16,1,17,7.8
benedikt,2006,6,29,3,38,17.2
benedikt,2007,7,34,10,51,22.5
benedikt,2008,10,62,-4,68,29
benedikt,2009,15,7,-6,16,6.8
benedikt,2010,2,23,1,26,10.9
benedikt,2011,9,39,-4,44,18
benedikt,2012,8,1,-17,-8,-3.3
benedikt,2013,0,33,2,35,14.2
benedikt,2014,5,3,-10,-2,-0.8
benedikt,2015,12,26,-8,30,12.2
benedikt,2016,10,-9,-6,-5,-2
benedikt,2017,9,35,-15,29,11.6
benedikt,2018,15,43,5,63,24.6
benedikt,2019,-2,27,13,38,14.7
benedikt,2020,3,-8,10,5,1.9
benedikt,2021,4,53,10,67,25.2
benedikt,2022,12,44,-3,53,19.6
benedikt,2023,1,-18,7,-10,-3.7
bistrica ob sotli,1995,-,-,-,-,...
bistrica ob sotli,1996,-,-,-,-,...
bistrica ob sotli,1997,-,-,-,-,-
bistrica ob sotli,1998,-,-,-,-,-
bistrica ob sotli,1999,-2,-3,0,-5,-3.4
bistrica ob sotli,2000,-14,8,0,-6,-4.1
bistrica ob sotli,2001,-5,14,-1,8,5.5
bistrica ob sotli,2002,-12,7,4,-1,-0.7
bistrica ob sotli,2003,-9,8,-4,-5,-3.4
bistrica ob sotli,2004,-11,-13,0,-24,-16.5
bistrica ob sotli,2005,-21,3,3,-15,-10.4
bistrica ob sotli,2006,-2,13,-1,10,6.9
bistrica ob sotli,2007,-12,11,3,2,1.4
bistrica ob sotli,2008,-3,-5,-2,-10,-7
bistrica ob sotli,2009,1,1,-2,0,0
bistrica ob sotli,2010,4,18,-2,20,14
bistrica ob sotli,2011,3,-14,-5,-16,-11.2
bistrica ob sotli,2012,-6,-6,-5,-17,-12.1
bistrica ob sotli,2013,-6,-3,-5,-14,-9.9
bistrica ob sotli,2014,0,-8,1,-7,-5.1
bistrica ob sotli,2015,-5,-9,-3,-17,-12.4
bistrica ob sotli,2016,0,-15,3,-12,-8.8
bistrica ob sotli,2017,-4,5,-8,-7,-5.2
bistrica ob sotli,2018,-8,-12,1,-19,-14.1
bistrica ob sotli,2019,0,8,1,9,6.8
bistrica ob sotli,2020,-9,-2,28,17,12.7
bistrica ob sotli,2021,-13,20,-1,6,4.4
bistrica ob sotli,2022,-4,13,-16,-7,-5.1
bistrica ob sotli,2023,-5,-1,0,-6,-4.5
bled,1995,-16,6,10,0,...
bled,1996,-9,10,0,1,...
bled,1997,-1,46,-1,44,4
bled,1998,-15,35,0,20,1.8
bled,1999,-1,19,17,35,3.2
bled,2000,-20,29,2,11,1
bled,2001,-31,30,23,22,2
bled,2002,-12,2,0,-10,-0.9
bled,2003,-18,-28,11,-35,-3.2
bled,2004,8,-17,4,-5,-0.4
bled,2005,1,9,35,45,4
bled,2006,30,5,30,65,5.8
bled,2007,-18,-66,20,-64,-7.8
bled,2008,-3,-24,47,20,2.5
bled,2009,16,0,9,25,3.1
bled,2010,31,-47,9,-7,-0.9
bled,2011,44,7,8,59,7.2
bled,2012,10,-30,12,-8,-1
bled,2013,33,-23,12,22,2.7
bled,2014,23,-72,-14,-63,-7.7
bled,2015,13,-111,5,-93,-11.5
bled,2016,0,-52,-1,-53,-6.6
bled,2017,-31,-85,6,-110,-13.9
bled,2018,-2,-119,84,-37,-4.7
bled,2019,-4,-12,50,34,4.3
bled,2020,-25,236,120,331,41.5
bled,2021,-25,55,18,48,5.8
bled,2022,-11,-194,144,-61,-7.5
bled,2023,-23,-130,115,-38,-4.7
bloke,1995,-,-,-,-,...
bloke,1996,-,-,-,-,...
bloke,1997,-,-,-,-,-
bloke,1998,-,-,-,-,-
bloke,1999,-7,7,-1,-1,-0.6
bloke,2000,-18,15,3,0,0
bloke,2001,-12,20,0,8,5.1
bloke,2002,-3,25,0,22,13.7
bloke,2003,-9,1,5,-3,-1.9
bloke,2004,-7,11,12,16,9.8
bloke,2005,-11,8,14,11,6.7
bloke,2006,-15,4,15,4,2.4
bloke,2007,2,-7,19,14,8.4
bloke,2008,-6,39,4,37,23.1
bloke,2009,1,-32,2,-29,-18.6
bloke,2010,9,1,-4,6,3.8
bloke,2011,1,9,-1,9,5.7
bloke,2012,2,1,-5,-2,-1.3
bloke,2013,-1,-18,4,-15,-9.5
bloke,2014,3,-25,-2,-24,-15.4
bloke,2015,1,-7,-1,-7,-4.6
bloke,2016,-5,-6,-5,-16,-10.4
bloke,2017,4,5,1,10,6.5
bloke,2018,-4,1,26,23,15
bloke,2019,6,-17,21,10,6.4
bloke,2020,13,30,7,50,31.2
bloke,2021,-3,-1,-2,-6,-3.8
bloke,2022,-13,-24,-6,-43,-27.1
bloke,2023,-1,-4,7,2,1.3
bohinj,1995,-3,-11,1,-13,...
bohinj,1996,-8,-13,0,-21,...
bohinj,1997,-1,22,3,24,4.6
bohinj,1998,1,27,3,31,6
bohinj,1999,-14,15,-1,0,0
bohinj,2000,-6,5,3,2,0.4
bohinj,2001,12,1,6,19,3.6
bohinj,2002,-11,12,0,1,0.2
bohinj,2003,-11,-16,0,-27,-5.1
bohinj,2004,-2,14,7,19,3.6
bohinj,2005,18,-16,13,15,2.8
bohinj,2006,-13,2,-2,-13,-2.5
bohinj,2007,-14,-12,45,19,3.6
bohinj,2008,8,-1,41,48,9.2
bohinj,2009,1,28,18,47,8.9
bohinj,2010,-14,-22,6,-30,-5.7
bohinj,2011,-9,-55,1,-63,-12.1
bohinj,2012,-6,3,10,7,1.3
bohinj,2013,-20,0,-10,-30,-5.8
bohinj,2014,-17,-12,-2,-31,-6
bohinj,2015,-10,-9,11,-8,-1.6
bohinj,2016,-20,9,23,12,2.3
bohinj,2017,-11,-33,17,-27,-5.3
bohinj,2018,-27,-11,16,-22,-4.3
bohinj,2019,-33,36,36,39,7.6
bohinj,2020,-34,394,64,424,79.1
bohinj,2021,-21,119,-1,97,16.8
bohinj,2022,-12,-304,74,-242,-43.9
bohinj,2023,-8,-173,11,-170,-32.3
borovnica,1995,13,6,6,25,...
borovnica,1996,32,9,-2,39,...
borovnica,1997,1,12,-2,11,3
borovnica,1998,-2,7,-10,-5,-1.3
borovnica,1999,6,43,2,51,13.5
borovnica,2000,4,29,-8,25,6.6
borovnica,2001,0,0,-9,-9,-2.4
borovnica,2002,-6,-18,-8,-32,-8.4
borovnica,2003,7,14,-2,19,5
borovnica,2004,-7,-8,-1,-16,-4.2
borovnica,2005,22,38,2,62,16.2
borovnica,2006,17,5,15,37,9.5
borovnica,2007,6,-5,17,18,4.6
borovnica,2008,14,-38,43,19,4.9
borovnica,2009,8,-21,28,15,3.8
borovnica,2010,22,27,-13,36,9
borovnica,2011,41,-27,-10,4,1
borovnica,2012,27,-28,0,-1,-0.3
borovnica,2013,38,128,-5,161,39.6
borovnica,2014,28,64,7,99,23.5
borovnica,2015,41,-9,-7,25,5.8
borovnica,2016,32,92,-24,100,23.3
borovnica,2017,25,29,-17,37,8.4
borovnica,2018,26,35,11,72,16.3
borovnica,2019,24,38,33,95,20.9
borovnica,2020,35,5,49,89,19.2
borovnica,2021,3,-41,5,-33,-7.1
borovnica,2022,3,-2,54,55,11.9
borovnica,2023,15,-10,35,40,8.5
bovec,1995,-22,-10,5,-27,...
bovec,1996,-33,-8,4,-37,...
bovec,1997,-17,12,1,-4,-1.2
bovec,1998,-17,11,4,-2,-0.6
bovec,1999,-23,13,40,30,8.8
bovec,2000,-22,-4,13,-13,-3.8
bovec,2001,-31,-3,-8,-42,-12.3
bovec,2002,-21,16,-7,-12,-3.6
bovec,2003,-9,12,2,5,1.5
bovec,2004,-22,16,-9,-15,-4.5
bovec,2005,-16,7,6,-3,-0.9
bovec,2006,-30,19,22,11,3.3
bovec,2007,-10,-16,26,0,0
bovec,2008,-2,-51,45,-8,-2.5
bovec,2009,-8,-18,27,1,0.3
bovec,2010,9,44,9,62,19.1
bovec,2011,-3,-52,-9,-64,-19.9
bovec,2012,-4,-4,17,9,2.8
bovec,2013,-2,-58,12,-48,-15.1
bovec,2014,-12,-3,2,-13,-4.1
bovec,2015,-7,-7,4,-10,-3.2
bovec,2016,-14,-29,1,-42,-13.6
bovec,2017,-24,-2,-3,-29,-9.5
bovec,2018,-14,-19,32,-1,-0.3
bovec,2019,-12,14,23,25,8.1
bovec,2020,-13,150,30,167,52.3
bovec,2021,-16,-51,0,-67,-20.9
bovec,2022,-18,-134,16,-136,-43.8
bovec,2023,-4,-18,33,11,3.6
braslovče,1995,-,-,-,-,...
braslovče,1996,-,-,-,-,...
braslovče,1997,-,-,-,-,-
braslovče,1998,-,-,-,-,-
braslovče,1999,-10,74,0,64,13.4
braslovče,2000,20,67,-9,78,15.7
braslovče,2001,18,73,-9,82,16.3
braslovče,2002,2,31,19,52,10.2
braslovče,2003,-9,44,7,42,8.1
braslovče,2004,-10,23,-5,8,1.6
braslovče,2005,-8,55,21,68,13.1
braslovče,2006,3,23,4,30,5.7
braslovče,2007,8,47,18,73,14.1
braslovče,2008,23,18,-2,39,7.5
braslovče,2009,14,11,13,38,7.3
braslovče,2010,23,45,18,86,16.3
braslovče,2011,26,72,-11,87,16.3
braslovče,2012,22,24,-16,30,5.5
braslovče,2013,0,28,6,34,6.3
braslovče,2014,17,-12,-2,3,0.6
braslovče,2015,14,15,-2,27,4.9
braslovče,2016,31,50,2,83,15
braslovče,2017,4,-26,-9,-31,-5.6
braslovče,2018,-1,-10,10,-1,-0.2
braslovče,2019,19,102,-6,115,20.6
braslovče,2020,-4,-16,35,15,2.7
braslovče,2021,-1,25,3,27,4.8
braslovče,2022,-8,28,13,33,5.8
braslovče,2023,3,69,19,91,15.8
brda,1995,-14,7,3,-4,...
brda,1996,-10,27,1,18,...
brda,1997,-5,19,0,14,2.4
brda,1998,-13,-13,-2,-28,-4.9
brda,1999,6,22,1,29,5
brda,2000,0,12,8,20,3.4
brda,2001,-27,0,-4,-31,-5.3
brda,2002,-17,3,-5,-19,-3.3
brda,2003,-42,9,6,-27,-4.7
brda,2004,-13,-2,0,-15,-2.6
brda,2005,-13,7,5,-1,-0.2
brda,2006,-17,-9,4,-22,-3.8
brda,2007,-21,1,17,-3,-0.5
brda,2008,7,-5,11,13,2.3
brda,2009,-10,54,8,52,9.1
brda,2010,-5,3,15,13,2.3
brda,2011,0,4,2,6,1
brda,2012,-20,-9,4,-25,-4.3
brda,2013,-36,-7,16,-27,-4.7
brda,2014,-12,-14,-17,-43,-7.5
brda,2015,-25,22,-3,-6,-1.1
brda,2016,-36,8,-6,-34,-6
brda,2017,-36,25,5,-6,-1.1
brda,2018,-18,-21,18,-21,-3.7
brda,2019,-19,8,27,16,2.8
brda,2020,-33,44,14,25,4.5
brda,2021,-25,31,-14,-8,-1.4
brda,2022,-40,7,-12,-45,-8
brda,2023,-51,36,-3,-18,-3.2
brezovica,1995,33,110,3,146,...
brezovica,1996,19,79,2,100,...
brezovica,1997,25,156,0,181,21
brezovica,1998,43,140,-8,175,20
brezovica,1999,33,89,3,125,14
brezovica,2000,23,94,1,118,13
brezovica,2001,23,138,3,164,17.7
brezovica,2002,15,127,12,154,16.3
brezovica,2003,16,143,42,201,20.9
brezovica,2004,30,85,-7,108,11.1
brezovica,2005,14,103,7,124,12.5
brezovica,2006,40,88,17,145,14.5
brezovica,2007,46,131,41,218,21.4
brezovica,2008,79,146,100,325,31.2
brezovica,2009,68,124,44,236,22
brezovica,2010,76,221,29,326,29.7
brezovica,2011,67,160,24,251,22.3
brezovica,2012,30,208,0,238,20.6
brezovica,2013,23,107,6,136,11.6
brezovica,2014,-3,108,16,121,10.2
brezovica,2015,16,83,-3,96,8.1
brezovica,2016,15,90,10,115,9.6
brezovica,2017,-5,112,-12,95,7.8
brezovica,2018,18,143,60,221,17.9
brezovica,2019,-38,165,122,249,19.9
brezovica,2020,-7,83,45,121,9.5
brezovica,2021,-18,54,-21,15,1.2
brezovica,2022,-45,25,31,11,0.9
brezovica,2023,-16,157,25,166,12.8
brežice,1995,-146,47,43,-56,...
brežice,1996,-109,39,23,-47,...
brežice,1997,-82,45,12,-25,-1
brežice,1998,-114,72,62,20,0.8
brežice,1999,-107,39,6,-62,-2.5
brežice,2000,-87,34,7,-46,-1.9
brežice,2001,-125,58,22,-45,-1.8
brežice,2002,-51,25,-2,-28,-1.1
brežice,2003,-92,37,51,-4,-0.2
brežice,2004,-97,-14,12,-99,-4
brežice,2005,-79,85,30,36,1.5
brežice,2006,-95,80,49,34,1.4
brežice,2007,-95,21,90,16,0.7
brežice,2008,-5,-42,150,103,4.2
brežice,2009,-68,46,65,43,1.8
brežice,2010,-41,3,9,-29,-1.2
brežice,2011,-45,78,-9,24,1
brežice,2012,-29,59,-52,-22,-0.9
brežice,2013,-52,14,10,-28,-1.2
brežice,2014,-90,99,-73,-64,-2.6
brežice,2015,-55,125,-5,65,2.7
brežice,2016,-77,38,-11,-50,-2.1
brežice,2017,-39,-50,-32,-121,-5
brežice,2018,-69,-1,64,-6,-0.2
brežice,2019,-54,3,18,-33,-1.4
brežice,2020,-100,266,183,349,14.4
brežice,2021,-96,52,3,-41,-1.7
brežice,2022,-108,47,102,41,1.7
brežice,2023,-68,61,37,30,1.2
cankova,1995,-,-,-,-,...
cankova,1996,-,-,-,-,...
cankova,1997,-,-,-,-,-
cankova,1998,-,-,-,-,-
cankova,1999,-19,2,-2,-19,-9
cankova,2000,-9,-2,-1,-12,-5.7
cankova,2001,-16,-10,1,-25,-12
cankova,2002,-5,-4,1,-8,-3.8
cankova,2003,-14,-8,-4,-26,-12.6
cankova,2004,-20,4,-2,-18,-8.8
cankova,2005,-20,-7,1,-26,-12.8
cankova,2006,-13,15,-1,1,0.5
cankova,2007,-16,17,1,2,1
cankova,2008,-13,-22,0,-35,-18.1
cankova,2009,-10,-31,2,-39,-20.5
cankova,2010,-6,-8,0,-14,-7.4
cankova,2011,1,5,-3,3,1.6
cankova,2012,-6,8,-3,-1,-0.5
cankova,2013,-3,-17,-19,-39,-20.7
cankova,2014,-10,-8,3,-15,-8.1
cankova,2015,-11,-4,-7,-22,-12
cankova,2016,-10,1,-10,-19,-10.6
cankova,2017,-10,-13,-14,-37,-20.7
cankova,2018,-13,-3,-5,-21,-12
cankova,2019,-1,-3,3,-1,-0.6
cankova,2020,6,-8,23,21,12
cankova,2021,-10,-11,5,-16,-9.1
cankova,2022,-10,33,2,25,14.2
cankova,2023,5,-3,3,5,2.8
celje,1995,-68,-31,57,-42,...
celje,1996,-9,-78,35,-52,...
celje,1997,-45,-120,11,-154,-3.1
celje,1998,-45,-159,-183,-387,-7.8
celje,1999,-78,-155,48,-185,-3.7
celje,2000,-81,-214,123,-172,-3.5
celje,2001,-88,-211,184,-115,-2.3
celje,2002,-139,-261,44,-356,-7.2
celje,2003,-171,-152,117,-206,-4.2
celje,2004,-104,-141,157,-88,-1.8
celje,2005,-8,-137,273,128,2.6
celje,2006,-26,-96,332,210,4.3
celje,2007,26,-176,601,451,9.2
celje,2008,86,-535,752,303,6.2
celje,2009,73,-476,230,-173,-3.5
celje,2010,121,-254,-58,-191,-3.9
celje,2011,123,-98,28,53,1.1
celje,2012,81,-115,58,24,0.5
celje,2013,127,-186,249,190,3.9
celje,2014,76,-113,-56,-93,-1.9
celje,2015,70,108,119,297,6.1
celje,2016,45,90,162,297,6
celje,2017,-49,19,29,-1,0
celje,2018,-27,-475,597,95,1.9
celje,2019,-95,-319,483,69,1.4
celje,2020,-159,-856,521,-494,-10.1
celje,2021,-143,-188,-21,-352,-7.2
celje,2022,-102,-225,473,146,3
celje,2023,-92,33,561,502,10.2
cerklje na gorenjskem,1995,21,29,-1,49,...
cerklje na gorenjskem,1996,42,12,1,55,...
cerklje na gorenjskem,1997,37,31,-3,65,10.7
cerklje na gorenjskem,1998,6,51,2,59,9.6
cerklje na gorenjskem,1999,28,25,4,57,9.1
