obcina,leto,Employment rate,Employment rate for men,Employment rate for women
ajdovščina,2002,59.3,66,51.7
ajdovščina,2003,58.4,64.8,51.4
ajdovščina,2004,58.6,65.2,51.5
ajdovščina,2005,59.1,66.1,51.5
ajdovščina,2006,59.2,66.3,51.4
ajdovščina,2007,60.7,68,52.6
ajdovščina,2008,62.5,69.4,54.6
ajdovščina,2009,62,68.3,54.7
ajdovščina,2010,59.5,64.5,53.7
ajdovščina,2011,57.4,62.1,52.1
ajdovščina,2012,56.5,60,52.6
ajdovščina,2013,55.8,58.8,52.5
ajdovščina,2014,57.7,62.4,52.5
ajdovščina,2015,59.4,64.4,54
ajdovščina,2016,61.3,66,56.2
ajdovščina,2017,64.5,70.1,58.5
ajdovščina,2018,67.5,72.9,61.7
ajdovščina,2019,69.1,73.9,63.8
ajdovščina,2020,70.6,75.2,65.4
ajdovščina,2021,71.4,75.7,66.5
ajdovščina,2022,73.2,77.6,68.2
ajdovščina,2023,73.8,77.6,69.5
ankaran/ancarano,2002,-,-,-
ankaran/ancarano,2003,-,-,-
ankaran/ancarano,2004,-,-,-
ankaran/ancarano,2005,-,-,-
ankaran/ancarano,2006,-,-,-
ankaran/ancarano,2007,-,-,-
ankaran/ancarano,2008,-,-,-
ankaran/ancarano,2009,-,-,-
ankaran/ancarano,2010,-,-,-
ankaran/ancarano,2011,-,-,-
ankaran/ancarano,2012,-,-,-
ankaran/ancarano,2013,-,-,-
ankaran/ancarano,2014,-,-,-
ankaran/ancarano,2015,60.7,64,57.4
ankaran/ancarano,2016,62.7,65.8,59.6
ankaran/ancarano,2017,64.5,67,62
ankaran/ancarano,2018,67.2,70.3,64.2
ankaran/ancarano,2019,68.7,71.3,66.3
ankaran/ancarano,2020,67.2,69.2,65.3
ankaran/ancarano,2021,68.5,72.4,64.8
ankaran/ancarano,2022,69.7,73.1,66.5
ankaran/ancarano,2023,69.2,72.1,66.5
apače,2002,-,-,-
apače,2003,-,-,-
apače,2004,-,-,-
apače,2005,-,-,-
apače,2006,-,-,-
apače,2007,49.9,55.2,44.1
apače,2008,51.7,56.8,46.1
apače,2009,50.8,56.1,44.9
apače,2010,48.8,54.9,42.3
apače,2011,47.2,53,41.1
apače,2012,45.6,50.3,40.7
apače,2013,44.2,48,40
apače,2014,43.4,47.8,38.7
apače,2015,43.6,47.9,38.9
apače,2016,42.7,45.3,39.9
apače,2017,43.9,47.7,40
apače,2018,44.6,47.3,41.8
apače,2019,45,47.8,42.1
apače,2020,45.4,47.4,43.3
