regija,leto,Gross income - TOTAL,Income from work,"Parental, family and social benefits",Pensions,"Property, capital and other income",Employment rate,Employment rate for men,Employment rate for women,Natural increase,Net migration between statistical regions,Net migration from abroad,Total increase,Total increase per 1000 population,Emigrants to abroad - Men,Emigrants to abroad - Total,Emigrants to abroad - Women,Emigrants to abroad per 1000 population,Emigrants to other regions per 1000 population,Emigrants to other statistical regions - Men,Emigrants to other statistical regions - Total,Emigrants to other statistical regions - Women,Immigrants from abroad - Men,Immigrants from abroad - Total,Immigrants from abroad - Women,Immigrants from abroad per 1000 populationv,Immigrants from other regions per 1000 population,Immigrants from other statistical regions - Men,Immigrants from other statistical regions - Total,Immigrants from other statistical regions - Women,Net migration between statistical regions - Men,Net migration between statistical regions - Total,Net migration between statistical regions - Women,Net migration between statistical regions per 1000 population,Net migration from abroad - Men,Net migration from abroad - Total,Net migration from abroad - Women,Net migration from abroad per 1000 population,Total net migration - Men,Total net migration - Total,Total net migration - Women,Total net migration per 1000 population,Labour migration index,Labour migration index - men,Labour migration index - women,Persons in employment [excluding farmers] whose workplace is in the statistical region of their residence,Persons in employment [excluding farmers] whose workplace is in the statistical region of their residence - men,Persons in employment [excluding farmers] whose workplace is in the statistical region of their residence - women,Persons in employment [excluding farmers] whose workplace is not in the statistical region of their residence,Persons in employment [excluding farmers] whose workplace is not in the statistical region of their residence - men,Persons in employment [excluding farmers] whose workplace is not in the statistical region of their residence - women
gorenjska,1993,,,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gorenjska,1994,,,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gorenjska,1995,,,,,,...,...,...,284,180,78,542,2.8,58,106,48,0.5,2.5,214,490,276,99,184,85,0.9,3.4,296,670,374,82,180,98,0.9,41,78,37,0.4,123,258,135,1.3,,,,,,,,,
gorenjska,1996,,,,,,...,...,...,421,146,66,633,3.2,45,77,32,0.4,3.1,279,616,337,69,143,74,0.7,3.9,329,762,433,50,146,96,0.7,24,66,42,0.3,74,212,138,1.1,,,,,,,,,
gorenjska,1997,,,,,,...,...,...,338,75,-10,403,2.1,63,96,33,0.5,3.1,268,608,340,41,86,45,0.4,3.5,301,683,382,33,75,42,0.4,-22,-10,12,-0.1,11,65,54,0.3,,,,,,,,,
gorenjska,1998,,,,,,...,...,...,246,79,-492,-167,-0.9,748,961,213,4.9,3.1,244,614,370,275,469,194,2.4,3.5,315,693,378,71,79,8,0.4,-473,-492,-19,-2.5,-402,-413,-11,-2.1,,,,,,,,,
gorenjska,1999,,,,,,...,...,...,215,61,267,543,2.8,140,232,92,1.2,3.2,277,633,356,350,499,149,2.5,3.5,306,694,388,29,61,32,0.3,210,267,57,1.4,239,328,89,1.7,,,,,,,,,
gorenjska,2000,,,,,,...,...,...,354,51,-32,373,1.9,268,420,152,2.1,2.8,244,547,303,253,388,135,2,3,264,598,334,20,51,31,0.3,-15,-32,-17,-0.2,5,19,14,0.1,,,,,,,,,
gorenjska,2001,,,,,,...,...,...,255,-132,176,299,1.5,257,370,113,1.9,3.9,342,776,434,355,546,191,2.8,3.3,289,644,355,-53,-132,-79,-0.7,98,176,78,0.9,45,44,-1,0.2,,,,,,,,,
gorenjska,2002,,,,,,56.6,61.2,51.8,304,-98,27,233,1.2,383,645,262,3.3,3.8,359,746,387,407,672,265,3.4,3.3,297,648,351,-62,-98,-36,-0.5,24,27,3,0.1,-38,-71,-33,-0.4,,,,,,,,,
