obcina,leto,Gross income - TOTAL,Income from work,"Parental, family and social benefits",Pensions,"Property, capital and other income",Basic or less,Education - TOTAL,Tertiary,Upper secondary,Labour migration index,Labour migration index - men,Labour migration index - women,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence - men,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence - women,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence - men,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence - women,Natural increase,Net migration between municipalities,Net migration from abroad,Total increase,Total increase per 1000 population,Emigrants to abroad - Men,Emigrants to abroad - Total,Emigrants to abroad - Women,Emigrants to abroad per 1000 population,Emigrants to other municipalities - Men,Emigrants to other municipalities - Total,Emigrants to other municipalities - Women,Emigrants to other municipalities per 1000 population,Immigrants from abroad - Men,Immigrants from abroad - Total,Immigrants from abroad - Women,Immigrants from abroad per 1000 population,Immigrants from other municipalities - Men,Immigrants from other municipalities - Total,Immigrants from other municipalities - Women,Immigrants from other municipalities per 1000 population,Net migration between municipalities - Men,Net migration between municipalities - Total,Net migration between municipalities - Women,Net migration between municipalities per 1000 population,Net migration from abroad - Men,Net migration from abroad - Total,Net migration from abroad - Women,Net migration from abroad per 1000 population,Total net migration - Men,Total net migration - Total,Total net migration - Women,Total net migration per 1000 population,Employment rate,Employment rate for men,Employment rate for women
ajdovščina,2014,10110.67,7193.91,610.26,1998.46,308.06,4870,15765,2943,7952,75.1,74,76.5,48.6,48.8,48.4,51.4,51.2,51.6,70,19,17,106,5.6,41,69,28,3.7,311,613,302,32.4,56,86,30,4.6,294,632,338,33.5,-17,19,36,1,15,17,2,0.9,-2,36,38,1.9,57.7,62.4,52.5
ajdovščina,2015,10246.16,7402.73,579.02,2003.56,260.86,4759,15798,3066,7973,74.5,74.2,75,48.6,49.2,47.9,51.4,50.8,52.1,56,-18,49,87,4.6,52,79,27,4.2,326,645,319,33.9,76,128,52,6.7,310,627,317,33,-16,-18,-2,-0.9,24,49,25,2.6,8,31,23,1.6,59.4,64.4,54
ajdovščina,2016,10640.96,7778.48,578.57,2012.99,270.93,4635,15871,3225,8011,76.8,76.9,76.6,49.4,49.8,48.8,50.6,50.2,51.2,55,-23,16,48,2.5,80,147,67,7.7,314,617,303,32.4,110,163,53,8.6,295,594,299,31.2,-19,-23,-4,-1.2,30,16,-14,0.8,11,-7,-18,-0.4,61.3,66,56.2
ajdovščina,2017,11152.95,8213.25,582.25,2056.81,300.63,4531,15873,3390,7952,78.2,79.6,76.3,48.6,49.9,46.9,51.4,50.1,53.1,23,-52,64,35,1.8,69,113,44,5.9,341,685,344,35.7,118,177,59,9.2,311,633,322,33,-30,-52,-22,-2.7,49,64,15,3.3,19,12,-7,0.6,64.5,70.1,58.5
ajdovščina,2018,11949.15,8865.33,590.45,2108.46,384.91,4398,15871,3474,7999,79.1,81.2,76.3,49.2,51,46.8,50.8,49,53.2,35,-27,113,121,6.3,71,121,50,6.3,304,609,305,31.8,168,234,66,12.2,314,582,268,30.4,10,-27,-37,-1.4,97,113,16,5.9,107,86,-21,4.5,67.5,72.9,61.7
ajdovščina,2019,12740.6,9515.0,627.63,2165.11,432.87,4235,15964,3583,8146,84,89.3,77,49.8,52.7,46.1,50.2,47.3,53.9,26,-62,208,172,8.9,61,88,27,4.5,345,658,313,34,211,296,85,15.3,319,596,277,30.8,-26,-62,-36,-3.2,150,208,58,10.7,124,146,22,7.5,69.1,73.9,63.8
ajdovščina,2020,13521.22,9824.22,z,2299.37,z,4228,16116,3659,8229,83.5,89.8,75.4,48.7,51.2,45.5,51.3,48.8,54.5,45,44,201,290,14.7,117,159,42,8.1,456,864,408,43.9,249,360,111,18.3,512,908,396,46.2,56,44,-12,2.2,132,201,69,10.2,188,245,57,12.5,70.6,75.2,65.4
ajdovščina,2021,14199.93,10715.01,686.63,2413.46,384.83,4194,16354,3785,8375,86.6,94.2,77.1,48.9,51.9,45.1,51.1,48.1,54.9,-6,2,25,21,1.1,135,176,41,8.9,356,624,268,31.6,133,201,68,10.2,305,626,321,31.7,-51,2,53,0.1,-2,25,27,1.3,-53,27,80,1.4,71.4,75.7,66.5
ajdovščina,2022,15433.41,11696.8,723.12,2594.91,418.59,4073,16303,3924,8306,89.9,99.9,77.4,49.3,52.7,45,50.7,47.3,55,-17,3,102,88,4.5,110,144,34,7.3,431,815,384,41.4,162,246,84,12.5,424,818,394,41.5,-7,3,10,0.2,52,102,50,5.2,45,105,60,5.3,73.2,77.6,68.2
ajdovščina,2023,17124.17,13171.72,720.4,2765.67,466.38,4004,16400,4047,8349,90.1,100,77.9,48.3,51.3,44.4,51.7,48.7,55.6,4,15,64,83,4.2,128,180,52,9,342,686,344,34.5,163,244,81,12.3,366,701,335,35.2,24,15,-9,0.8,35,64,29,3.2,59,79,20,4,73.8,77.6,69.5
ankaran/ancarano,2014,12713.93,9393.55,529.2,2315.8,475.39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ankaran/ancarano,2015,13049.05,9689.7,500.98,2401.52,456.85,650,2801,759,1392,63.1,50,77.5,19.3,18.8,19.8,63.1,81.2,80.2,-3,22,-5,14,4.3,43,52,9,16.1,126,248,122,76.6,36,47,11,14.5,129,270,141,83.4,3,22,19,6.8,-7,-5,2,-1.5,-4,17,21,5.3,60.7,64,57.4
ankaran/ancarano,2016,13548.04,10068.2,458.37,2500.07,521.4,623,2818,799,1396,69.2,52.6,86.9,20,19.8,20.2,80,80.2,79.8,5,-17,5,-7,-2.2,36,55,19,17,122,238,116,73.8,46,60,14,18.6,115,221,106,68.5,-7,-17,-10,-5.3,10,5,-5,1.5,3,-12,-15,-3.7,62.7,65.8,59.6
ankaran/ancarano,2017,14026.9,10464.1,441.22,2581.52,540.07,615,2819,822,1382,66.7,50.3,84.4,17.7,16,19.6,82.3,84,80.4,4,-15,-10,-21,-6.6,42,59,17,18.4,105,217,112,67.7,29,49,20,15.3,98,202,104,63,-7,-15,-8,-4.7,-13,-10,3,-3.1,-20,-25,-5,-7.8,64.5,67,62
ankaran/ancarano,2018,14931.78,10980.78,507.92,2673.11,769.98,586,2795,836,1373,69,53.3,85.2,17.6,16.6,18.5,82.4,83.4,81.5,10,-31,20,-1,-0.3,26,35,9,10.9,132,256,124,79.6,34,55,21,17.1,110,225,115,70,-22,-31,-9,-9.6,8,20,12,6.2,-14,-11,3,-3.4,67.2,70.3,64.2
