Občina,Leto,Gross income - TOTAL,Income from work,"Parental, family and social benefits",Pensions,"Property, capital and other income",Labour migration index,Labour migration index - men,Labour migration index - women,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence - men,Persons in employment [excluding farmers] whose workplace is in the municipality of their residence - women,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence - men,Persons in employment [excluding farmers] whose workplace is not in the municipality of their residence - women,Basic or less,Education - TOTAL,Tertiary,Upper secondary,Active,Inactive,Population aged 15+ years  - TOTAL,Emigrants to abroad - Men,Emigrants to abroad - Total,Emigrants to abroad - Women,Emigrants to abroad per 1000 population,Emigrants to other municipalities - Men,Emigrants to other municipalities - Total,Emigrants to other municipalities - Women,Emigrants to other municipalities per 1000 population,Immigrants from abroad - Men,Immigrants from abroad - Total,Immigrants from abroad - Women,Immigrants from abroad per 1000 population,Immigrants from other municipalities - Men,Immigrants from other municipalities - Total,Immigrants from other municipalities - Women,Immigrants from other municipalities per 1000 population,Net migration between municipalities - Men,Net migration between municipalities - Total,Net migration between municipalities - Women,Net migration between municipalities per 1000 population,Net migration from abroad - Men,Net migration from abroad - Total,Net migration from abroad - Women,Net migration from abroad per 1000 population,Total net migration - Men,Total net migration - Total,Total net migration - Women,Total net migration per 1000 population,Employment rate,Employment rate for men,Employment rate for men.1,Employment rate for men.2,Employment rate for women,Employment rate for women.1,Employment rate for women.2,Employment rate.1,Employment rate.2,Natural increase,Natural increase ,Net migration between municipalities,Net migration from abroad,Total increase,Total increase per 1000 population,Total increase per 1000 population 
ajdovščina,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,39.0,74.0,35.0,0.0,9.0,19.0,10.0,0.0,31.0,75.0,44.0,0.0,-8.0,1.0,9.0,0.0,8.0,17.0,9.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,1.0,17.0,43.0,0.0,0.0
ajdovščina,2000,0.0,0.0,0.0,0.0,0.0,95.6,97.0,93.8,66.2,64.4,68.7,33.8,35.6,31.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ajdovščina,2003,0.0,0.0,0.0,0.0,0.0,92.2,93.5,90.4,63.6,61.8,66.0,36.4,38.2,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,62.0,26.0,3.4,37.0,75.0,38.0,4.1,61.0,87.0,26.0,4.8,58.0,112.0,54.0,6.2,21.0,37.0,16.0,2.0,25.0,25.0,0.0,1.4,46.0,62.0,16.0,3.4,58.4,64.8,0.0,0.0,51.4,0.0,0.0,0.0,0.0,0.0,14.0,37.0,25.0,76.0,0.0,4.2
ajdovščina,2013,0.0,0.0,0.0,0.0,0.0,75.7,74.7,76.8,49.6,49.6,49.7,50.4,50.4,50.3,4517.0,16153.0,3407.0,8229.0,7761.333333333333,9443.0,9279.0,50.0,85.0,35.0,4.5,390.0,779.0,389.0,40.9,43.0,81.0,38.0,4.3,341.0,621.0,280.0,32.6,-49.0,-158.0,-109.0,-8.3,-7.0,-4.0,3.0,-0.2,-56.0,-162.0,-106.0,-8.5,0.0,0.0,58.8,0.0,0.0,52.5,0.0,55.8,0.0,56.0,0.0,-158.0,-4.0,-106.0,-5.6,0.0
ajdovščina,2014,8006.255999999999,8448.63,1138.5800000000002,3982.2325,356.8325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ajdovščina,2023,13877.976,14268.1275,1241.0325,5477.52,1106.3675,90.1,100.0,77.9,48.3,51.3,44.4,51.7,48.7,55.6,4517.0,16153.0,3407.0,8229.0,7761.333333333333,9443.0,9279.0,128.0,180.0,52.0,9.0,342.0,686.0,344.0,34.5,163.0,244.0,81.0,12.3,366.0,701.0,335.0,35.2,24.0,15.0,-9.0,0.8,35.0,64.0,29.0,3.2,59.0,79.0,20.0,4.0,0.0,0.0,0.0,77.6,0.0,0.0,69.5,0.0,73.8,4.0,0.0,15.0,64.0,83.0,4.2,0.0
ajdovščina,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7761.333333333333,9443.0,9279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ankaran/ancarano,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576.0,2955.0,918.0,1461.0,1707.5,984.0,1832.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ankaran/ancarano,2014,9597.74,10135.297499999999,1162.355,4532.6,472.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ankaran/ancarano,2023,15192.655999999999,15511.6525,1348.59,6468.9,1651.365,72.3,52.5,92.2,17.9,15.3,20.5,82.1,84.7,79.5,576.0,2955.0,918.0,1461.0,1707.5,984.0,1832.5,28.0,57.0,29.0,16.9,160.0,303.0,143.0,90.0,38.0,69.0,31.0,20.5,121.0,234.0,113.0,69.5,-39.0,-69.0,-30.0,-20.5,10.0,12.0,2.0,3.6,-29.0,-57.0,-28.0,-16.9,0.0,0.0,0.0,72.1,0.0,0.0,66.5,0.0,69.2,-1.0,0.0,-69.0,12.0,-58.0,-17.2,0.0
